"station","latitude","longitude"
"31866099999",46.5333333,138.3333333
"60250099999",30.381353,-9.546311
"68411099999",-28.7694444,17.6233333
"38002099999",44.7333333,51.9666667
"72654954905",47.82194,-92.68944
"72026853882",30.98333,-84.63333
"72228013876",33.56556,-86.745
"71105099999",50.25,-111.7
"2311099999",61.15,13.1166666
"72216693845",30.7825,-83.27667
"72099999999",47.6,-112.316666
"72548804955",42.68083,-91.97444
"70063427408",70.33083,-149.5975
"89061089061",-64.766,-64.083
"3088099999",56.85,-2.2666666
"2490099999",59.8333333,18.6333333
"87270099999",-29.1833333,-59.7
"99844199999",17.591,-61.821
"99730299999",39.22,-76.52
"68588099999",-29.970089,30.950519
"13459099999",42.7666666,18.95
"68939099999",-34.2166666,24.85
"62325099999",31.55,31.1
"72085600284",34.689,-86.006
"8160099999",41.666242,-1.041553
"10238099999",52.8166667,9.9333333
"74206024207",47.15,-122.48333
"1146099999",66.2333333,13.8833333
"1484399999",59.3166667,10.45
"72458593997",38.87611,-98.80917
"3872099999",50.8166666,-0.9166666
"80421499999",10.912603,-63.9666
"25400099999",65.7333333,150.9
"7420099999",45.7166666,0.2166666
"7203099999",47.65,-3.5
"72541854823",41.94,-83.43472
"17609099999",34.875117,33.62485
"72252612947",28.45667,-99.21833
"86791099999",-19.1166666,-51.7166666
"72030464752",40.1,-75.26667
"16564099999",39.1,9.5166667
"3385199999",53.4749,0.1521
"78363099999",20.2833333,-76.25
"2559099999",57.7,16.4666666
"72438754807",40.52806,-86.05889
"64220099999",-4.3666666,15.25
"91925099999",-9.8,-139.0333333
"99471099999",27.3,-97.42
"72651594902",44.3,-96.8
"71625099999",45.952221,-77.319168
"7180099999",48.692069,6.230458
"97560099999",-1.190017,136.107997
"72747694961",48.72606,-94.61216
"8495099999",36.151219,-5.349664
"99773499999",37.92,-122.45
"11146099999",47.05,12.95
"22671099999",64.0166666,44.45
"2625099999",55.4833333,14.3166666
"31348099999",53.05,136.0333333
"71072099999",48.3666666,-89.3166666
"2507099999",58.6666666,11.4166666
"31801099999",47.6666666,136.1833333
"71465099999",42.25,-81.9
"70326025503",58.68294,-156.65634
"15434099999",44.4333333,24.35
"70271026425",62.1591,-145.4588
"25042099999",69.9166666,167.9666666
"72463603013",38.07178,-102.68747
"40623099999",35.55,45.45
"74486514719",40.85055,-72.61928
"97192099999",-5.4666667,122.6166667
"6628099999",46.75,7.2666666
"62641499999",19.433639,37.234075
"36421099999",49.75,84.283
"81836099999",-5.1166666,-36.7166666
"47597099999",37.1333333,140.2166666
"7487099999",45.22,5.85
"80426099999",9.340478,-70.584058
"72418013781",39.6744,-75.60567
"64247099999",-6.1666666,23.6166666
"72097100342",42.517,-108.783
"7790099999",42.552664,9.483731
"86794099999",-19.9858333,-48.1525
"16760099999",35.1833333,25.3166666
"72290693112",32.69219,-117.20983
"65460099999",6.1,0.1166667
"3740099999",51.505144,-1.993428
"91659099999",-17.0,178.7
"71088099999",69.07,-79.07
"54945099999",35.4333333,119.5333333
"3313099999",53.25,-3.5
"71675099999",53.8333333,-89.8666667
"16726099999",37.068319,22.025525
"72584793230",38.89838,-119.99617
"71138099999",51.264721,-102.461667
"72391093111",34.11667,-119.11667
"72058700184",29.976,-92.084
"29712099999",54.7,78.6666666
"3377099999",53.166167,-0.523811
"60640099999",26.723536,8.622653
"71978099999",69.15,-140.15
"41725099999",27.6666666,68.9
"70232026516",61.58159,-159.54304
"82091099999",-0.889839,-52.60225
"14323099999",45,14.9
"63686099999",0.4833333,35.3
"72059900192",34.783,-81.2
"60732099999",36.1333333,8.7
"38141199999",47.121944,51.821389
"35344099999",49.95,60.133
"6205099999",55.4166666,3.8166666
"96745099999",-6.1833333,106.8333333
"30925099999",50.3666666,106.45
"13461599999",41.1,20.8166666
"27930099999",52.702547,39.538034
"10234099999",53.1333333,9.35
"11053099999",48.2166666,13.4833333
"2554099999",58.7166666,15.0333333
"61984099999",-21.320903,55.424956
"99847399999",28.885,-90.024
"16719099999",37.7833333,20.8833333
"48383099999",16.5333333,104.7166666
"13629099999",40.6,20.7666666
"1199099999",68.75,23.5333333
"83827099999",-25.59615,-54.487206
